timestamp,open,high,low,close,volume,trade_count,vwap
2018-04-05 16:00:00+00:00,245.95,246.09,244.82,245.2147,441293,2817,245.330758
2018-04-05 17:00:00+00:00,245.23,245.5,243.381,244.07,581988,3918,244.24821
2018-04-05 18:00:00+00:00,244.1799,245.41,243.73,245.32,506623,2871,244.682904
2018-04-05 19:00:00+00:00,245.36,245.8,244.4,244.87,791167,5050,245.136962
2018-04-05 20:00:00+00:00,244.86,245.08,244.84,245.08,30641,22,244.907221
2018-04-05 22:00:00+00:00,244.99,245.0,241.75,241.75,7316,34,242.480312
2018-04-05 23:00:00+00:00,241.12,241.38,240.5,241.22,42954,156,240.956749
2018-04-06 10:00:00+00:00,242.8,243.25,242.8,243.02,8038,19,243.035581
2018-04-06 11:00:00+00:00,243.12,243.12,242.17,242.17,13083,48,242.620802
2018-04-06 12:00:00+00:00,242.92,243.24,242.2,242.87,33771,179,242.736002
2018-04-06 13:00:00+00:00,242.97,244.2525,242.06,243.733,812221,3967,243.162077
2018-04-06 14:00:00+00:00,243.75,244.07,241.2635,241.53,751528,4720,242.530824
2018-04-06 15:00:00+00:00,241.41,241.78,240.64,241.55,666424,3568,241.239416
2018-04-06 16:00:00+00:00,241.5,242.069,240.33,242.0017,529669,3049,241.0741
2018-04-06 17:00:00+00:00,241.92,241.93,239.21,239.27,823223,4387,240.717606
2018-04-06 18:00:00+00:00,239.28,239.48,237.35,237.645,1385202,7620,238.525077
2018-04-06 19:00:00+00:00,237.68,239.78,237.24,239.14,1902708,11580,238.585779
2018-04-06 20:00:00+00:00,239.14,239.5,239.13,239.28,46695,104,239.199247
2018-04-06 21:00:00+00:00,239.5,239.5,239.0,239.25,861,12,239.369628
2018-04-06 22:00:00+00:00,239.0,239.0,238.9,238.96,5972,22,238.962843
2018-04-06 23:00:00+00:00,238.92,238.96,238.9,238.9,3997,15,238.922817
2018-04-09 08:00:00+00:00,241.1,241.41,241.1,241.41,700,5,241.161429
2018-04-09 09:00:00+00:00,241.37,241.37,241.37,241.37,200,1,241.37
2018-04-09 10:00:00+00:00,241.3,241.3,241.25,241.25,900,3,241.294444
2018-04-09 11:00:00+00:00,241.0,241.26,241.0,241.17,4202,23,241.124626
2018-04-09 12:00:00+00:00,241.5,241.5,240.72,241.0,26676,47,241.008447
2018-04-09 13:00:00+00:00,240.88,241.69,240.355,241.41,715131,3842,241.086913
2018-04-09 14:00:00+00:00,241.4,242.26,240.77,241.86,585543,3795,241.50888
